url,name,title,Path,Slice Name,Alias(s),Label,Min,Max,Must Support?,Is Modifier?,Is Summary?,Type(s),Short,Definition,Comments,Requirements,Default Value,Meaning When Missing,Fixed Value,Pattern,Example,Minimum Value,Maximum Value,Maximum Length,Binding Strength,Binding Description,Binding Value Set,Code,Slicing Discriminator,Slicing Description,Slicing Ordered,Slicing Rules,Base Path,Base Min,Base Max,Condition(s),Constraint(s),Mapping: RIM Mapping,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.bodySite,,,,0,1,,,,"CodeableConcept {[]} {[]}
",Observed body part,Indicates the site on the subject's body where the observation was made (i.e. the target site).,"Only used if not implicit in code found in Observation.code.  In many systems, this may be represented as a related observation instead of an inline component.   

If the use case requires BodySite to be handled as a separate resource (e.g. to identify and track separately) then use the standard extension[ bodySite](http://hl7.org/fhir/extension-bodysite.html).",,,,,,,,,,example,Codes describing anatomical locations. May include laterality.,http://hl7.org/fhir/ValueSet/body-site,,,,,Observation.bodySite,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",< 123037004 |Body structure|,OBX-20,targetSiteCode,718497002 |Inherent location|,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.method,,,,0,1,,,,"CodeableConcept {[]} {[]}
",How it was done,Indicates the mechanism used to perform the observation.,Only used if not implicit in code for Observation.code.,"In some cases, method can impact results and is thus used for determining whether results can be compared or determining significance of results.",,,,,,,,,example,Methods for simple observations.,http://hl7.org/fhir/ValueSet/observation-methods,,,,,Observation.method,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",OBX-17,methodCode,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.specimen,,,,0,1,,,,"Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Specimen]]}
",Specimen used for this observation,The specimen that was used when this observation was made.,"Should only be used if not implicit in code found in `Observation.code`.  Observations are not made on specimens themselves; they are made on a subject, but in many cases by the means of a specimen. Note that although specimens are often involved, they are not always tracked and reported explicitly. Also note that observation resources may be used in contexts that track the specimen explicitly (e.g. Diagnostic Report).",,,,,,,,,,,,,,,,,Observation.specimen,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",< 123038009 |Specimen|,SPM segment,participation[typeCode=SPC].specimen,704319004 |Inherent in|,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.device,,,,0,1,,,,"Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Device], CanonicalType[http://hl7.org/fhir/StructureDefinition/DeviceMetric]]}
",(Measurement) Device,The device used to generate the observation data.,"Note that this is not meant to represent a device involved in the transmission of the result, e.g., a gateway.  Such devices may be documented using the Provenance resource where relevant.",,,,,,,,,,,,,,,,,Observation.device,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",< 49062001 |Device|,OBX-17 / PRT -10,participation[typeCode=DEV],424226004 |Using device|,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.referenceRange,,,,0,*,,,,"BackboneElement {[]} {[]}
",Provides guide for interpretation,"Guidance on how to interpret the value by comparison to a normal or recommended range.  Multiple reference ranges are interpreted as an ""OR"".   In other words, to represent two distinct target populations, two `referenceRange` elements would be used.","Most observations only have one generic reference range. Systems MAY choose to restrict to only supplying the relevant reference range based on knowledge about the patient (e.g., specific to the patient's age, gender, weight and other factors), but this might not be possible or appropriate. Whenever more than one reference range is supplied, the differences between them SHOULD be provided in the reference range and/or age properties.","Knowing what values are considered ""normal"" can help evaluate the significance of a particular result. Need to be able to provide multiple reference ranges for different contexts.",,,,,,,,,,,,,,,,Observation.referenceRange,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
obs-3:Must have at least a low or a high or text {low.exists() or high.exists() or text.exists()}",OBX.7,"outboundRelationship[typeCode=REFV]/target[classCode=OBS, moodCode=EVN]",,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.referenceRange.id,,,,0,1,,,,"string {[]} {[]}
",Unique id for inter-element referencing,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,,,,Element.id,0,1,,,,,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.referenceRange.extension,,"extensions
user content",,0,*,,,,"Extension {[]} {[]}
",Additional content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,,,,,,,,Element.extension,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.referenceRange.modifierExtension,,"extensions
user contentmodifiers",,0,*,,Y,Y,"Extension {[]} {[]}
",Extensions that cannot be ignored even if unrecognized,"May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/extensibility.html#modifierExtension).",,,,,,,,,,,,,,,,BackboneElement.modifierExtension,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.referenceRange.low,,,,0,1,,,,"Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Low Range, if relevant","The value of the low bound of the reference range.  The low bound of the reference range endpoint is inclusive of the value (e.g.  reference range is >=5 - <=9). If the low bound is omitted,  it is assumed to be meaningless (e.g. reference range is <=2.3).",,,,,,,,,,,,,,,,,,Observation.referenceRange.low,0,1,"obs-3
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",OBX-7,value:IVL_PQ.low,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.referenceRange.high,,,,0,1,,,,"Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","High Range, if relevant","The value of the high bound of the reference range.  The high bound of the reference range endpoint is inclusive of the value (e.g.  reference range is >=5 - <=9). If the high bound is omitted,  it is assumed to be meaningless (e.g. reference range is >= 2.3).",,,,,,,,,,,,,,,,,,Observation.referenceRange.high,0,1,"obs-3
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",OBX-7,value:IVL_PQ.high,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.referenceRange.type,,,,0,1,,,,"CodeableConcept {[]} {[]}
",Reference range qualifier,"Codes to indicate the what part of the targeted reference population it applies to. For example, the normal or therapeutic range.",This SHOULD be populated if there is more than one range.  If this element is not present then the normal range is assumed.,"Need to be able to say what kind of reference range this is - normal, recommended, therapeutic, etc.,  - for proper interpretation.",,,,,,,,,preferred,Code for the meaning of a reference range.,http://hl7.org/fhir/ValueSet/referencerange-meaning,,,,,Observation.referenceRange.type,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",< 260245000 |Findings values| OR  ,,,,,
< 365860008 |General clinical state finding| ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 250171008 |Clinical history or observation findings| OR  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 415229000 |Racial group| OR ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 365400002 |Finding of puberty stage| OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 443938003 |Procedure carried out on subject|,OBX-10,interpretationCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.referenceRange.appliesTo,,,,0,*,,,,"CodeableConcept {[]} {[]}
",Reference range population,"Codes to indicate the target population this reference range applies to.  For example, a reference range may be based on the normal population or a particular sex or race.  Multiple `appliesTo`  are interpreted as an ""AND"" of the target populations.  For example, to represent a target population of African American females, both a code of female and a code for African American would be used.",This SHOULD be populated if there is more than one range.  If this element is not present then the normal population is assumed.,Need to be able to identify the target population for proper interpretation.,,,,,,,,,example,Codes identifying the population the reference range applies to.,http://hl7.org/fhir/ValueSet/referencerange-appliesto,,,,,Observation.referenceRange.appliesTo,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",< 260245000 |Findings values| OR  ,,,,,
< 365860008 |General clinical state finding| ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 250171008 |Clinical history or observation findings| OR  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 415229000 |Racial group| OR ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 365400002 |Finding of puberty stage| OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 443938003 |Procedure carried out on subject|,OBX-10,interpretationCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.referenceRange.age,,,,0,1,,,,"Range {[]} {[]}
","Applicable age range, if relevant",The age at which this reference range is applicable. This is a neonatal age (e.g. number of weeks at term) if the meaning says so.,,Some analytes vary greatly over age.,,,,,,,,,,,,,,,,Observation.referenceRange.age,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","outboundRelationship[typeCode=PRCN].targetObservationCriterion[code=""age""].value",,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.referenceRange.text,,,,0,1,,,,"string {[]} {[]}
",Text based reference range in an observation,"Text based reference range in an observation which may be used when a quantitative range is not appropriate for an observation.  An example would be a reference value of ""Negative"" or a list or table of ""normals"".",,,,,,,,,,,,,,,,,,Observation.referenceRange.text,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",OBX-7,value:ST,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.hasMember,,,,0,*,,,Y,"Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/QuestionnaireResponse], CanonicalType[http://hl7.org/fhir/StructureDefinition/MolecularSequence], CanonicalType[http://hl7.org/fhir/StructureDefinition/vitalsigns]]}
",Used when reporting vital signs panel components,Used when reporting vital signs panel components.,"When using this element, an observation will typically have either a value or a set of related resources, although both may be present in some cases.  For a discussion on the ways Observations can assembled in groups together, see [Notes](http://hl7.org/fhir/observation.html#obsgrouping) below.  Note that a system may calculate results from [QuestionnaireResponse](http://hl7.org/fhir/questionnaireresponse.html)  into a final score and represent the score as an Observation.",,,,,,,,,,,,,,,,,Observation.hasMember,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",Relationships established by OBX-4 usage,outBoundRelationship,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.derivedFrom,,,,0,*,,,Y,"Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference], CanonicalType[http://hl7.org/fhir/StructureDefinition/ImagingStudy], CanonicalType[http://hl7.org/fhir/StructureDefinition/Media], CanonicalType[http://hl7.org/fhir/StructureDefinition/QuestionnaireResponse], CanonicalType[http://hl7.org/fhir/StructureDefinition/MolecularSequence], CanonicalType[http://hl7.org/fhir/StructureDefinition/vitalsigns]]}
",Related measurements the observation is made from,"The target resource that represents a measurement from which this observation value is derived. For example, a calculated anion gap or a fetal measurement based on an ultrasound image.","All the reference choices that are listed in this element can represent clinical observations and other measurements that may be the source for a derived value.  The most common reference will be another Observation.  For a discussion on the ways Observations can assembled in groups together, see [Notes](http://hl7.org/fhir/observation.html#obsgrouping) below.",,,,,,,,,,,,,,,,,Observation.derivedFrom,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",Relationships established by OBX-4 usage,.targetObservation,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.component,,,,2,*,Y,,Y,"BackboneElement {[]} {[]}
",Component observations,Used when reporting component observation such as systolic and diastolic blood pressure.,For a discussion on the ways Observations can be assembled in groups together see [Notes](http://hl7.org/fhir/observation.html#notes) below.,"Component observations share the same attributes in the Observation resource as the primary observation and are always treated a part of a single observation (they are not separable).   However, the reference range for the primary observation value is not inherited by the component values and is required when appropriate for each component observation.",,,,,,,,,,,,,"pattern:code}
",,,open,Observation.component,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
vs-3:If there is no a value a data absent reason must be present {value.exists() or dataAbsentReason.exists()}",containment by OBX-4?,outBoundRelationship[typeCode=COMP],,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.component.id,,,,0,1,,,,"string {[]} {[]}
",Unique id for inter-element referencing,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,,,,Element.id,0,1,,,,,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.component.extension,,"extensions
user content",,0,*,,,,"Extension {[]} {[]}
",Additional content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,,,,,,,,Element.extension,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.component.modifierExtension,,"extensions
user contentmodifiers",,0,*,,Y,Y,"Extension {[]} {[]}
",Extensions that cannot be ignored even if unrecognized,"May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/extensibility.html#modifierExtension).",,,,,,,,,,,,,,,,BackboneElement.modifierExtension,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.component.code,,,,1,1,Y,,Y,"CodeableConcept {[]} {[]}
",Type of component observation (code / type),"Describes what was observed. Sometimes this is called the observation ""code"".",*All* code-value and  component.code-component.value pairs need to be taken into account to correctly understand the meaning of the observation.,Knowing what kind of observation is being made is essential to understanding the observation.,,,,,,,,,extensible,The vital sign codes from the base FHIR and US Core Vital Signs.,http://hl7.org/fhir/us/core/ValueSet/us-core-vital-signs,,,,,Observation.component.code,1,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",< 363787002 |Observable entity| OR ,,,,,
< 386053000 |Evaluation procedure|,OBX-3,code,FiveWs.what[x],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.component.value[x],,,,0,1,Y,,Y,"Quantity {[]} {[]}
CodeableConcept {[]} {[]}string {[]} {[]}boolean {[]} {[]}integer {[]} {[]}Range {[]} {[]}Ratio {[]} {[]}SampledData {[]} {[]}time {[]} {[]}dateTime {[]} {[]}Period {[]} {[]}",Vital Sign Component Value,Vital Signs value are typically recorded using the Quantity data type. For supporting observations such as cuff size could use other datatypes such as CodeableConcept.,"Used when observation has a set of component observations. An observation may have both a value (e.g. an  Apgar score)  and component observations (the observations from which the Apgar score was derived). If a value is present, the datatype for this element should be determined by Observation.code. A CodeableConcept with just a text would be used instead of a string if the field was usually coded, or if the type associated with the Observation.code defines a coded value.  For additional guidance, see the [Notes section](http://hl7.org/fhir/observation.html#notes) below.","9. SHALL contain exactly one [1..1] value with @xsi:type=""PQ"" (CONF:7305).",,,,,,,,,extensible,Common UCUM units for recording Vital Signs.,http://hl7.org/fhir/ValueSet/ucum-vitals-common|4.0.1,,,,,Observation.component.value[x],0,1,"vs-3
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",363714003 |Interprets| < 441742003 |Evaluation finding|,"OBX.2, OBX.5, OBX.6",value,363714003 |Interprets|,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.component.dataAbsentReason,,,,0,1,Y,,,"CodeableConcept {[]} {[]}
",Why the component result is missing,Provides a reason why the expected value in the element Observation.component.value[x] is missing.,"""Null"" or exceptional values can be represented two ways in FHIR Observations.  One way is to simply include them in the value set and represent the exceptions in the value.  For example, measurement values for a serology test could be  ""detected"", ""not detected"", ""inconclusive"", or  ""test not done"". 

The alternate way is to use the value element for actual observations and use the explicit dataAbsentReason element to record exceptional values.  For example, the dataAbsentReason code ""error"" could be used when the measurement was not completed.  Because of these options, use-case agreements are required to interpret general observations for exceptional values.",For many results it is necessary to handle exceptional values in measurements.,,,,,,,,,extensible,Codes specifying why the result (`Observation.value[x]`) is missing.,http://hl7.org/fhir/ValueSet/data-absent-reason,,,,,Observation.component.dataAbsentReason,0,1,"obs-6
vs-3","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",,value.nullFlavor,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.component.interpretation,,"Abnormal Flag
",,0,*,,,,"CodeableConcept {[]} {[]}
","High, low, normal, etc.","A categorical assessment of an observation value.  For example, high, low, normal.","Historically used for laboratory results (known as 'abnormal flag' ),  its use extends to other use cases where coded interpretations  are relevant.  Often reported as one or more simple compact codes this element is often placed adjacent to the result value in reports and flow sheets to signal the meaning/normalcy status of the result.","For some results, particularly numeric results, an interpretation is necessary to fully understand the significance of a result.",,,,,,,,,extensible,Codes identifying interpretations of observations.,http://hl7.org/fhir/ValueSet/observation-interpretation,,,,,Observation.component.interpretation,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",< 260245000 |Findings values|,OBX-8,interpretationCode,363713009 |Has interpretation|,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.component.referenceRange,,,,0,*,,,,,Provides guide for interpretation of component result,Guidance on how to interpret the value by comparison to a normal or recommended range.,"Most observations only have one generic reference range. Systems MAY choose to restrict to only supplying the relevant reference range based on knowledge about the patient (e.g., specific to the patient's age, gender, weight and other factors), but this might not be possible or appropriate. Whenever more than one reference range is supplied, the differences between them SHOULD be provided in the reference range and/or age properties.","Knowing what values are considered ""normal"" can help evaluate the significance of a particular result. Need to be able to provide multiple reference ranges for different contexts.",,,,,,,,,,,,,,,,Observation.component.referenceRange,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",OBX.7,"outboundRelationship[typeCode=REFV]/target[classCode=OBS, moodCode=EVN]",,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.component,systolic,,,1,1,Y,,Y,"BackboneElement {[]} {[]}
",Systolic Blood Pressure,Used when reporting component observation such as systolic and diastolic blood pressure.,For a discussion on the ways Observations can be assembled in groups together see [Notes](http://hl7.org/fhir/observation.html#notes) below.,"Component observations share the same attributes in the Observation resource as the primary observation and are always treated a part of a single observation (they are not separable).   However, the reference range for the primary observation value is not inherited by the component values and is required when appropriate for each component observation.",,,,,,,,,,,,,,,,Observation.component,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
vs-3:If there is no a value a data absent reason must be present {value.exists() or dataAbsentReason.exists()}",containment by OBX-4?,outBoundRelationship[typeCode=COMP],,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.component.id,,,,0,1,,,,"string {[]} {[]}
",Unique id for inter-element referencing,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,,,,Element.id,0,1,,,,,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.component.extension,,"extensions
user content",,0,*,,,,"Extension {[]} {[]}
",Additional content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,,,,,,,,Element.extension,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.component.modifierExtension,,"extensions
user contentmodifiers",,0,*,,Y,Y,"Extension {[]} {[]}
",Extensions that cannot be ignored even if unrecognized,"May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/extensibility.html#modifierExtension).",,,,,,,,,,,,,,,,BackboneElement.modifierExtension,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,USCoreBloodPressureProfile,US Core Blood Pressure Profile,Observation.component.code,,,,1,1,Y,,Y,"CodeableConcept {[]} {[]}
",Systolic Blood Pressure Code,"Describes what was observed. Sometimes this is called the observation ""code"".",*All* code-value and  component.code-component.value pairs need to be taken into account to correctly understand the meaning of the observation.,Knowing what kind of observation is being made is essential to understanding the observation.,,,,"<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""http://loinc.org""/>
    <code value=""8480-6""/>
  </coding>
</valueCodeableConcept>",,,,,extensible,The vital sign codes from the base FHIR and US Core Vital Signs.,http://hl7.org/fhir/us/core/ValueSet/us-core-vital-signs,,,,,Observation.component.code,1,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",< 363787002 |Observable entity| OR ,,,,,
< 386053000 |Evaluation procedure|,OBX-3,code,FiveWs.what[x],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
